sku,in_db,in_ss,in_bc,db_available,db_on_hand,db_bc_mapped,db_client_store_maps,ss_available,ss_on_hand,bc_quantity_available,bc_band_name,bc_title
CD-CELLSREM-9PI9,1,0,0,,,0,0,,,,,
CD-CH-338,0,1,0,,,0,0,2,2,,,
CD-CH-352,0,1,0,,,0,0,2,2,,,
CD-CH-364,0,1,0,,,0,0,3,3,,,
CD-CH-371,0,1,0,,,0,0,3,3,,,
CD-DIFI-001,0,1,0,,,0,0,2,2,,,
CD-DIFI-002,1,1,0,,,0,0,2,2,,,
CD-DIFI-003,0,1,0,,,0,0,2,2,,,
CD-DR-006,0,1,0,,,0,0,1,1,,,
CD-EB-050,0,1,0,,,0,0,3,3,,,
CD-EB-051,0,1,0,,,0,0,3,3,,,
CD-EB-055,0,1,0,,,0,0,3,3,,,
CD-EB-056,0,1,0,,,0,0,3,3,,,
CD-EB-058,0,1,0,,,0,0,6,6,,,
CD-EB-061,0,1,0,,,0,0,3,3,,,
CD-EB-062,0,1,0,,,0,0,3,3,,,
CD-EB-063,0,1,0,,,0,0,3,3,,,
CD-EB-065,0,1,0,,,0,0,1,1,,,
CD-EB-068,0,1,0,,,0,0,7,7,,,
CD-EB-069,0,1,0,,,0,0,8,8,,,
CD-EHR-001,0,1,1,,,0,0,2,2,2,Egghunt Records,Limited Edition Compact Disc
CD-EHR-002,0,1,1,,,0,0,3,3,3,Egghunt Records,Limited Edition Compact Disc
CD-EHR-003,0,1,1,,,0,0,1,1,1,Egghunt Records,Limited Edition Compact Disc
CD-EHR-010,0,1,0,,,0,0,1,1,,,
CD-EHR-017,0,1,0,,,0,0,1,1,,,
CD-EHR-020,0,1,0,,,0,0,1,1,,,
CD-EHR-022,1,1,1,,,0,0,5,5,4,Egghunt Records,Limited Edition Compact Disc
CD-EHR-027,0,1,0,,,0,0,7,7,,,
CD-EHR-030,0,1,1,,,0,0,31,31,31,Egghunt Records,Limited Run CD
CD-EHR-041,0,1,0,,,0,0,30,30,,,
CD-EHR-056,0,1,1,,,0,0,9,9,9,Egghunt Records,Limited Edition Compact Disc
CD-EHR-060,0,1,1,,,0,0,21,21,19,Egghunt Records,Compact Disc
CD-EMF-084,0,1,0,,,0,0,1,1,,,
CD-EMF-085,1,1,0,,,0,0,1,1,,,
CD-EMF-088,1,0,0,,,0,0,,,,,
CD-FDR-01,0,1,0,,,0,0,1,1,,,
CD-FDR-06,0,1,0,,,0,0,2,2,,,
CD-FINDINGF-9T0U,1,0,0,,,0,0,,,,,
CD-FINDINGF-K914,1,0,0,,,0,0,,,,,
CD-FINISHHI-9STQ,1,0,0,,,0,0,,,,,
CD-FINISHHI-K8TD,1,0,0,,,0,0,,,,,
CD-FOM-0000,0,0,1,,,0,0,,,0,Northern Spy Records,Sex CD
CD-FOM-0002,0,0,1,,,0,0,,,0,Northern Spy Records,Aquatic CD
CD-FOM-0004,0,0,1,,,0,0,,,10,Northern Spy Records,Silent Night CD
CD-FOM-0007,1,0,1,,,0,0,,,0,Northern Spy Records,Aether CD
CD-FOM-0010,0,0,1,,,0,0,,,0,Northern Spy Records,The Boys CD
CD-FOM-0015,1,0,1,,,0,0,,,0,Northern Spy Records,Mindset CD
CD-GGGR-111,0,1,0,,,0,0,1,1,,,
CD-GGGR-119,0,1,0,,,0,0,7,7,,,
CD-GGGR-128,0,1,0,,,0,0,4,4,,,
CD-GGGR-129,0,1,0,,,0,0,17,17,,,
CD-HEL-049,0,1,0,,,0,0,1,1,,,
CD-HEL-069,0,1,0,,,0,0,1,1,,,
CD-HEL-073,0,1,0,,,0,0,1,1,,,
CD-HEL-075,0,1,0,,,0,0,1,1,,,
CD-HEL-080,0,1,0,,,0,0,5,5,,,
CD-HEL-081,0,1,0,,,0,0,2,2,,,
CD-HEL-129,0,1,0,,,0,0,4,4,,,
CD-HEL-130,0,1,0,,,0,0,4,4,,,
CD-HEL-42002,1,0,0,,,0,0,,,,,
CD-HEL-42008,0,1,0,,,0,0,32,32,,,
CD-HEL-99071,0,1,0,,,0,0,1,1,,,
CD-HIGHTIDE-9TTL,1,0,0,,,0,0,,,,,
CD-HIGHTIDE-K9W8,1,0,0,,,0,0,,,,,
CD-INRI-029,0,1,0,,,0,0,2,2,,,
CD-INRI-095,0,1,0,,,0,0,2,2,,,
CD-LADR-01,0,1,0,,,0,0,8,8,,,
CD-LHT-04,0,0,1,,,0,0,,,0,Northern Spy Records,CD - WITH 16 COLORFUL INSERTS
CD-MT-068,0,1,0,,,0,0,5,5,,,
CD-MT-091,1,0,0,,,0,0,,,,,
CD-MT-092,1,1,0,,,0,0,6,6,,,
CD-MT-139,1,1,0,,,0,0,6,6,,,
CD-NCNH-021,0,1,0,,,0,0,2,2,,,
CD-NF-094,1,1,0,,,0,0,3,3,,,
CD-NNA-084,0,1,0,,,0,0,9,9,,,
CD-NNA-087,0,1,1,,,0,0,10,10,2,NNA Tapes,Compact Disc
CD-NNA-101,0,0,1,,,0,0,,,0,NNA Tapes,Limited Edition CD
CD-NNA-104,0,1,1,,,0,0,1,1,0,NNA Tapes,Limited Edition Compact Disc
CD-NNA-108,0,0,1,,,0,0,,,0,NNA Tapes,Compact Disc
CD-NNA-111,0,1,1,,,0,0,10,10,4,NNA Tapes,Limited Edition CD
CD-NNA-117,0,0,1,,,0,0,,,0,NNA Tapes,Nothing
CD-NNA-119,0,1,1,,,0,0,10,10,4,NNA Tapes,Compact Disc
CD-NNA-121,0,1,1,,,0,0,44,44,42,NNA Tapes,CD in Digipak
CD-NNA-122,0,0,1,,,0,0,,,0,NNA Tapes,Compact Disc
CD-NNA-127,0,1,1,,,0,0,35,35,35,NNA Tapes,Compact Disc
CD-NNA-135,0,1,1,,,0,0,15,15,13,NNA Tapes,Compact Disc
CD-NNA-137,0,1,1,,,0,0,10,10,16,NNA Tapes,Compact Disc
CD-NNA-137-X,0,0,1,,,0,0,,,0,NNA Tapes,Bundle: Graphic Score + Compact Disc
CD-NNA-146,1,1,1,,,0,0,38,38,43,NNA Tapes,CD
CD-NNA-150,0,1,1,,,0,0,17,17,0,NNA Tapes,COMPACT DISC
CD-NORENT-028,0,1,0,,,0,0,1,1,,,
CD-NS-001,0,0,1,,,0,0,,,25,Northern Spy Records,CD
CD-NS-002,0,0,1,,,0,0,,,0,Northern Spy Records,Compact Disc
CD-NS-004,0,1,1,,,0,0,4,4,4,Northern Spy Records,CD
CD-NS-005,0,1,1,,,0,0,5,5,5,Northern Spy Records,CD
CD-NS-006,0,1,1,,,0,0,4,4,4,Northern Spy Records,CD
CD-NS-007,0,1,1,,,0,0,11,11,4,Northern Spy Records,CD
CD-NS-009,0,1,1,,,0,0,4,4,4,Northern Spy Records,CD
CD-NS-011,0,1,1,,,0,0,10,10,4,Northern Spy Records,CD
CD-NS-012,1,0,1,,,0,0,,,2,Northern Spy Records,Compact Disc
CD-NS-013,0,1,1,,,0,0,5,5,3,Northern Spy Records,CD
CD-NS-015,0,1,1,,,0,0,9,9,9,Northern Spy Records,CD
CD-NS-018,0,1,1,,,0,0,2,2,0,Northern Spy Records,CD
CD-NS-019,0,1,1,,,0,0,10,10,3,Northern Spy Records,CD
