sku,old_title,new_title,shopify_id
"LR-TTGA-2TTG","LEAVING RECORDS - Care Tracts - CASSETTE","Matthewdavid - Trust the Guide and Glide Cassette",""
"TS-NNA-115","NNA x Cameron Stallones T-Shirt (Limited Edition)","NNA Tapes - NNA x Cameron Stallones T-Shirt (Limited Edition)","gid://shopify/Product/10310471942459"
"NS-2022-SHIRT","The Promise of a Future T-Shirt","Northern Spy Records - The Promise of a Future T-Shirt","gid://shopify/Product/10310467354939"
"CS-WSR-015","Trupa Trupa / Suspirians CS","TRUPA TRUPA - TRUPA TRUPA / Suspirians Split Cassette","10025027305787"
"QA-SA-CS","LEAVING RECORDS - Red Moon - TEST PRESSING VINYL","Qoa - SAUCO LP",""
"SCD-SCD-CS","LEAVING RECORDS - Subtle Movements - CASSETTE","Sam Wilkes, Craig Weinrib, and Dylan Day - Sam Wilkes, Craig Weinrib, and Dylan Day Cassette",""
"LR-AGCL","LEAVING RECORDS - TREE MUSIC TEE (SCOUR)","LEAVING RECORDS - All Genre Long-Sleeve (Black)",""
"LR-CLCS","LEAVING RECORDS - ALL GENRE LEVITATION (BLACK)","LEAVING RECORDS - CLASSIC LOGO CREWNECK SWEATSHIRT",""
"TD-HF-C-1","LEAVING RECORDS - EXTRAVISION - EXTRAVINYL","tp Dutchkiss - high functioning Cassette",""
"TT-TT-V","LEAVING RECORDS - Sam Wilkes, Craig Weinrib, and Dylan Day - CD (Japan Import)","toso toso - toso toso LP",""
"TS-NS-137C","Instant Night ""GPS To A Ditch"" T-Shirt","Beauty Pill - Instant Night ""GPS To A Ditch"" T-Shirt","gid://shopify/Product/10310468206907"
"SR-CSGP","Gold Print Savage T-Shirt","Shilpa Ray - Gold Print Savage T-Shirt","gid://shopify/Product/10310469091643"
"LR-MBML","LEAVING RECORDS - ZINE BUNDLE: HOW TO PLAY GUITAR VOL. 1-5","LEAVING RECORDS - MIVS&BG MAROON LONG-SLEEVE",""
"WM-WMIM-IMHM","LEAVING RECORDS - MYCELIUM MUSIC SHIRT","White Magic - White Magic - I'm Hiding My Nightingale LP",""
"BT-EM-EM12","LEAVING RECORDS - Paraiso - EP - Paraiso 12"" Vinyl","Black Taffy - Elder Mantis LP",""
"LR-TB","LEAVING RECORDS - LR TOTE","LEAVING RECORDS - TOTE & BANDANA",""
"Tōth-Renata-Bundle-LP","Tōth & Renata LP Bundle","Northern Spy Records - Tōth & Renata LP Bundle","gid://shopify/Product/10310467322171"
"SI-SR-LYSP","Last Year's Savage Patch","Shilpa Ray - Last Year's Savage Patch","gid://shopify/Product/10310468993339"
"NT-LE6C","Various Artists 'Centennial' Limited Edition 6-Cassette Box Set","NNA Tapes - Various Artists 'Centennial' Limited Edition 6-Cassette Box Set","gid://shopify/Product/10310472139067"
"LR-ZBHT","LEAVING RECORDS - LEAVING RECORDS HAT","LEAVING RECORDS - ZINE BUNDLE: HOW TO PLAY GUITAR VOL. 1-5",""
"BT-PA-PAC","LEAVING RECORDS - Dixie Crystals - 12"" LP","Black Taffy - Parlour Arcana Cassette",""
"LR-CBLL","LEAVING RECORDS - 49 ALBUMS FOR MUSIC CENTERED PSYCHEDLIC INTEGRATIO","LEAVING RECORDS - Classic Black | LR Logo",""
"LR-LAGL","LEAVING RECORDS - MIVS&BG MAROON LONG-SLEEVE","LEAVING RECORDS - LR ALL GENRE LONG SLEEVE (BLACK)",""
"LR-TO","LEAVING RECORDS - MILLENNIAL PINK","LEAVING RECORDS - The Original",""
"LR-LAGT","LEAVING RECORDS - Classic Black | LR Logo","LEAVING RECORDS - LR ALL GENRE TOTE",""
"NT-NTS","NNA Tapes Shirt","NNA Tapes - NNA Tapes Shirt","gid://shopify/Product/10310472040763"
"R-II-LC","LEAVING RECORDS - Holiday Mystery Bundle - Black","raays - Innervzm II Cassette",""
"VCR-TCOA-C","LEAVING RECORDS - ///// EFFECTUAL - ///// EFFECTUAL CD","V.C.R - The Chronicles of a Caterpillar: The Egg Cassette",""
"SW-W-LEWC","LEAVING RECORDS - Sharing Waves - Sharing Waves VINYL LP (1st edition)","Sam Wilkes - WILKES Cassette",""
"FDN-C-TPV","LEAVING RECORDS - Strawberry Season - CASSETTE","Fabiano do Nascimento - Cavejaz LP",""
"Y-YANA-YANA","LEAVING RECORDS - Mycelium Music - 2LP BLACK VINYL","yuk. - yuk. - a n a k LP",""
"SWJM-PTCO-TPV","LEAVING RECORDS - Plant Music Vol 1 - Shirley Shirley Shir - PLANT MUSIC TAPE BUNDLE","Sam Wilkes & Jacob Mann - Perform the Compositions of Sam Wilkes & Jacob Mann CD",""
"NG-CS-CC","LEAVING RECORDS - Innervzm II - DIVINATION TAPE","Nico Georis - Cloud Suites LP",""
"NG-CS-LCV","LEAVING RECORDS - Null Data - CASSETTE","Nico Georis - Cloud Suites LP",""
"NG-MBTT-CV","LEAVING RECORDS - Eurybia - CASSETTE","Nico Georis - Music Belongs To The Universe LP",""
"NG-MBTT-T","LEAVING RECORDS - Altered Scenes and Slight Variations - CASSETTE","Nico Georis - Music Belongs To The Universe LP",""
"L-SZ-C","LEAVING RECORDS - Ways - 12"" VINYL LP","LARAAJI - Sun Zither Cassette",""
"NG-CS-LBV","LEAVING RECORDS - Bird Bath - CASSETTE","Nico Georis - Cloud Suites LP",""
"NG-MBTTU-V","LEAVING RECORDS - Eurybia - 2ND CASSETTE EDITION: AQUA EURYBIA","Nico Georis - Music Belongs To The Universe LP",""
"K-KA-KKAC","LEAVING RECORDS - youdecide - YOUDECIDE VINYL 12"" LP","Kiefer - Kickinit Alone LP",""
"L-VIPS-LECV","LEAVING RECORDS - Technoself - Technoself 12"" Vinyl LP","Lionmilk - Visions in Paraíso Cassette",""
"NG-PMV3-C","LEAVING RECORDS - The Chronicles of a Caterpillar: The Egg - CASSETTE","Nico Georis - Plant Music Vol.3 - The Golden Teachers LP",""
"LP-NS-156-TEST","SUSS - Test Press","SUSS - SUSS LP","gid://shopify/Product/10310467813691"
