Client,Total Variants,Bandcamp Only,Shopify Only,Both BC+Shopify,Neither,Shopify Active,Shopify Draft,Shopify Archived,Has Inventory,In Stock,Out of Stock,No Inventory
"Signal Records / Chicago Research",1,0,1,0,0,1,0,0,0,0,0,1
"Mammas Mysteriska Jukebox",1,0,1,0,0,1,0,0,0,0,0,1
"No Rent Records",1,0,1,0,0,0,0,1,0,0,0,1
"Appetite|Discreet Music",1,0,1,0,0,1,0,0,0,0,0,1
"Appetite",1,0,1,0,0,1,0,0,0,0,0,1
"Mumbling Eye",1,0,1,0,0,1,0,0,0,0,0,1
"Flint Magazine",1,0,1,0,0,0,1,0,0,0,0,1
"Chondritic Sound",1,0,1,0,0,1,0,0,0,0,0,1
"Damien Records",1,0,1,0,0,1,0,0,0,0,0,1
"Auris Apothecary",1,0,1,0,0,0,0,1,0,0,0,1
"Omlott",1,0,1,0,0,1,0,0,0,0,0,1
"Vial",1,0,1,0,0,0,1,0,0,0,0,1
"AOK Records",1,0,1,0,0,1,0,0,0,0,0,1
"Floorjazz Recordings",1,0,1,0,0,1,0,0,0,0,0,1
"Surrealist Research",1,0,1,0,0,0,0,1,0,0,0,1
"Haekalu Records",1,0,1,0,0,1,0,0,0,0,0,1
"New Forces",1,0,1,0,0,1,0,0,0,0,0,1
"No Coast / No Hope",1,0,1,0,0,1,0,0,0,0,0,1
"No Embalming",1,0,1,0,0,1,0,0,0,0,0,1
"Post-Consumer",1,0,1,0,0,0,1,0,0,0,0,1
"Hands & Moment",1,0,0,0,1,0,0,0,0,0,0,1
"Test Tapes",1,0,1,0,0,1,0,0,0,0,0,1
"Vendetta Records",1,0,1,0,0,0,1,0,0,0,0,1
"Torn Light Records, Whited Sepulchre",1,0,1,0,0,1,0,0,0,0,0,1
"Flea",1,0,1,0,0,0,1,0,0,0,0,1
"Purl (self-release)",1,0,1,0,0,1,0,0,0,0,0,1
"Birdwatcher / Carillonia",1,0,1,0,0,0,1,0,0,0,0,1
"Bluesanct",1,0,1,0,0,0,1,0,0,0,0,1
"Nicole McCabe",1,0,0,1,0,0,1,0,1,0,1,0
"Good Neighbor",1,0,0,1,0,0,1,0,1,1,0,0
"Ilam Press",1,0,1,0,0,0,0,1,0,0,0,1
"Real Life Drama Records",1,0,1,0,0,1,0,0,0,0,0,1
"Xol Meissner",1,0,0,1,0,0,1,0,1,0,1,0
"Intrasert Sound",1,0,1,0,0,1,0,0,0,0,0,1
"Fountain AVM",1,0,1,0,0,1,0,0,0,0,0,1
"Textile Records",1,0,1,0,0,1,0,0,0,0,0,1
"Micah Thomas",1,0,0,1,0,0,1,0,1,0,1,0
"HelicopterHelicopter (Seoul - Korea)",1,0,1,0,0,0,1,0,0,0,0,1

"TOTAL",2875,494,1452,919,10,1503,656,212,1275,794,481,1600
